map,method,rnd_seed,distance_agent1,traversability_agent1,safety_agent1,distance_agent2,traversability_agent2,safety_agent2
cave,MAX_SPAN_hom,42,1833.77,0,0.0636863,1689.74,1,0
cave,MAX_SPAN_het,42,2145.44,0,0.0232912,2180.62,0.781739,0
cave,MAX_SPAN_hom,42,1807.97,0,0.122692,1774.2,1,0
cave,MAX_SPAN_het,42,1870.71,0,0.0012325,1912.07,0.0192318,0
cave,MAX_SPAN_hom,42,1681.23,0,0.117836,1636.87,1,0
cave,MAX_SPAN_het,42,2142.82,0,0.00171065,2107.39,0.0212134,0
cave,MAX_SPAN_hom,42,1797.66,0,0.136944,1716.18,1,0
cave,MAX_SPAN_het,42,2446.12,0,0.0183045,2378.03,0.0238502,0
cave,MAX_SPAN_hom,42,1896.73,0,0.168969,1853.44,1,0
cave,MAX_SPAN_het,42,2122.23,0,0.028351,2222.93,0.0223347,0
cave,MAX_SPAN_hom,42,1832.24,0,0.063725,1827.14,1,0
cave,MAX_SPAN_het,42,2101.93,0,0.00142682,2071.55,0.0208226,0
cave,MAX_SPAN_hom,42,1693.91,0,0.0790103,1637.93,1,0
cave,MAX_SPAN_het,42,2010.48,0,0.0234274,2017.59,0.0203142,0
cave,MAX_SPAN_hom,42,1787.64,0,0.132262,1768.59,1,0
cave,MAX_SPAN_het,42,2089.85,0,0.0176462,2044.3,0.0205729,0
cave,MAX_SPAN_hom,42,1828.18,0,0.0839925,1824.85,1,0
cave,MAX_SPAN_het,42,2079.9,0,0.0127504,2022.52,0.0203495,0
cave,MAX_SPAN_hom,42,1917.67,0,0.117715,1879.71,1,0
cave,MAX_SPAN_het,42,2004.43,0,0.0121423,1999.19,0.0201172,0
cave,MAX_SPAN_hom,42,2098.67,0,0.0633161,2082.68,1,0
cave,MAX_SPAN_het,42,2098.76,0,0.0376081,2192.76,0.0220324,0
cave,MAX_SPAN_hom,42,2098.81,0,0.0632393,2073.89,1,0
cave,MAX_SPAN_het,42,2098.79,0,0.0375423,2192.81,0.0220354,0
cave,MAX_SPAN_hom,42,2493.87,0,0.0164376,2211.48,1,0
cave,MAX_SPAN_het,42,2574.84,0,0.0377263,2339.23,0.0234283,0
cave,MAX_SPAN_hom,42,2490.05,0,0.0164376,2211.48,1,0
cave,MAX_SPAN_het,42,2574.84,0,0.0377263,2339.12,0.0234283,0
cave,MAX_SPAN_hom,42,2493.87,0,0.0164376,2211.48,1,0
cave,MAX_SPAN_het,42,2574.84,0,0.0377263,2386.05,0.0238883,0
cave,MAX_SPAN_hom,42,2493.87,0,0.0164376,2211.48,1,0
cave,MAX_SPAN_het,42,2574.84,0,0.0377263,2386.05,0.0238883,0
cave,MAX_SPAN_hom,42,2490.05,0,0.0164376,2211.48,1,0
cave,MAX_SPAN_het,42,2574.84,0,0.0377263,2386.05,0.0238883,0
cave,MAX_SPAN_hom,42,2144.44,0,0.0931929,2068.27,1,0
cave,MAX_SPAN_het,42,2375.06,0,0.0376875,1994.85,0.0200378,0
cave,MAX_SPAN_hom,42,2144.44,0,0.0931929,2068.27,1,0
cave,MAX_SPAN_het,42,2370.73,0,0.0376874,1994.96,0.0200408,0
cave,MAX_SPAN_hom,42,2144.42,0,0.0931929,2078.92,1,0
cave,MAX_SPAN_het,42,2370.84,0,0.0376875,1994.85,0.0200378,0
cave,MAX_SPAN_hom,42,2098.81,0,0.0632393,2073.79,1,0
cave,MAX_SPAN_het,42,2133.31,0,0.0375423,2170.02,0.0218065,0
cave,MAX_SPAN_hom,42,2098.81,0,0.0632393,2073.79,1,0
cave,MAX_SPAN_het,42,2098.79,0,0.0375423,2192.81,0.0220354,0
