map,method,rnd_seed,distance_agent1,traversability_agent1,safety_agent1,distance_agent2,traversability_agent2,safety_agent2
forest,MAX_SPAN_hom,42,90.22,0,0.337852,90.7884,1,0
forest,MAX_SPAN_het,42,121.505,0,0.000103354,51.3957,0.000517368,0
forest,MAX_SPAN_hom,42,94.1074,0,0.0667335,89.9116,1,0
forest,MAX_SPAN_het,42,132.372,0,0.00979233,51.3957,0.000517368,0
forest,MAX_SPAN_hom,42,88.5823,0,0.257247,92.3929,1,0
forest,MAX_SPAN_het,42,122.025,0,0.00391799,51.1625,0.000515044,0
forest,MAX_SPAN_hom,42,94.4466,0,0.264702,90.5566,1,0
forest,MAX_SPAN_het,42,137.003,0,0.00171924,51.3957,0.000517368,0
forest,MAX_SPAN_hom,42,88.6054,0,0.0212994,93.6437,1,0
forest,MAX_SPAN_het,42,122.976,0,0.00107396,55.8981,0.000562608,0
forest,MAX_SPAN_hom,42,93.7976,0,0.0619739,91.7567,1,0
forest,MAX_SPAN_het,42,126.313,0,0.00255722,51.3957,0.000517368,0
forest,MAX_SPAN_hom,42,87.9709,0,0.0613133,92.3973,1,0
forest,MAX_SPAN_het,42,130.085,0,0.00763535,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,92.7901,0,0.134545,88.4782,1,0
forest,MAX_SPAN_het,42,121.977,0,0.000957072,58.1458,0.000584602,0
forest,MAX_SPAN_hom,42,92.2583,0,0.0599524,85.2134,1,0
forest,MAX_SPAN_het,42,133.351,0,0.00244159,54.2674,0.000545979,0
forest,MAX_SPAN_hom,42,92.0508,0,0.0617779,88.4374,1,0
forest,MAX_SPAN_het,42,119.317,0,0.00360161,55.8981,0.000562608,0
forest,MAX_SPAN_hom,42,90.3125,0,7.236e-05,90.1908,1,0
forest,MAX_SPAN_het,42,135.259,0,0.00632554,50.2058,0.000505388,0
forest,MAX_SPAN_hom,42,90.3125,0,7.236e-05,90.1908,1,0
forest,MAX_SPAN_het,42,135.259,0,0.00632554,50.2058,0.000505388,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
forest,MAX_SPAN_hom,42,99.5964,0,0.0224591,91.1591,1,0
forest,MAX_SPAN_het,42,124.497,0,0.00676763,54.2857,0.000545979,0
