map,method,rnd_seed,distance_agent1,traversability_agent1,safety_agent1,distance_agent2,traversability_agent2,safety_agent2
office,MAX_SPAN_hom,42,430.904,0,0.0063439,427.911,0.00431561,0
office,MAX_SPAN_het,42,485.736,0,0.000245571,492.977,0.0049634,0
office,MAX_SPAN_hom,42,377.226,0,0.515758,386.855,0.00390339,0
office,MAX_SPAN_het,42,388.049,0,0.00604379,403.332,0.00406671,0
office,MAX_SPAN_hom,42,456.895,0,0.0381356,461.512,0.00464803,0
office,MAX_SPAN_het,42,519.296,0,0.00387597,507.829,0.0051176,0
office,MAX_SPAN_hom,42,459.006,0,0.0479625,461.536,0.00465101,0
office,MAX_SPAN_het,42,452.103,0,0.000718355,454.391,0.00457937,0
office,MAX_SPAN_hom,42,440.513,0,0.33091,440.94,0.00444204,0
office,MAX_SPAN_het,42,462.544,0,0.00547183,470.606,0.00474054,0
office,MAX_SPAN_hom,42,455.326,0,0.0443385,445.913,0.00449574,0
office,MAX_SPAN_het,42,458.617,0,0.000228345,463.278,0.00467491,0
