map,method,rnd_seed,distance_agent1,traversability_agent1,safety_agent1,distance_agent2,traversability_agent2,safety_agent2
orchard,MAX_SPAN_hom,42,86.7734,0,0.275495,86.7896,1,0
orchard,MAX_SPAN_het,42,87.536,0,0.00569242,89.876,0.000907362,0
orchard,MAX_SPAN_hom,42,93.0277,0,0.134029,93.1011,1,0
orchard,MAX_SPAN_het,42,105.858,0,0.00758243,106.09,0.00106966,0
orchard,MAX_SPAN_hom,42,94.3799,0,0.467219,92.8251,1,0
orchard,MAX_SPAN_het,42,94.2586,0,0.0071674,94.5797,0.00095433,0
orchard,MAX_SPAN_hom,42,91.5874,0,0.0885548,89.891,1,0
orchard,MAX_SPAN_het,42,89.8985,0,0.0031209,92.0553,0.000928581,0
orchard,MAX_SPAN_hom,42,92.1005,0,0.233719,89.6158,1,0
orchard,MAX_SPAN_het,42,101.906,0,0.0105009,103.027,0.00103945,0
orchard,MAX_SPAN_hom,42,89.1288,0,0.297,90.6701,1,0
orchard,MAX_SPAN_het,42,105.514,0,0.00621545,99.8541,0.00100774,0
orchard,MAX_SPAN_hom,42,90.3836,0,0.0498945,89.899,1,0
orchard,MAX_SPAN_het,42,96.041,0,0.00370479,97.1926,0.000981033,0
orchard,MAX_SPAN_hom,42,89.9169,0,0.163093,91.5835,1,0
orchard,MAX_SPAN_het,42,90.7864,0,0.0137436,91.4788,0.000923574,0
orchard,MAX_SPAN_hom,42,94.6159,0,0.0950854,91.7405,1,0
orchard,MAX_SPAN_hom,42,90.1522,0,0.0983098,88.3209,1,0
orchard,MAX_SPAN_het,42,93.5683,0,0.00353783,89.5844,0.000904322,0
orchard,MAX_SPAN_hom,42,86.2568,0,0.184705,83.5266,1,0
orchard,MAX_SPAN_het,42,96.0055,0,0.00734246,97.6055,0.000984013,0
orchard,MAX_SPAN_hom,42,87.9631,0,0.345029,88.3272,1,0
orchard,MAX_SPAN_het,42,96.8278,0,0.00257123,98.9098,0.00099802,0
orchard,MAX_SPAN_hom,42,90.6628,0,0.394912,92.3857,1,0
orchard,MAX_SPAN_het,42,97.8051,0,0.00749105,98.918,0.00099802,0
orchard,MAX_SPAN_hom,42,88.5749,0,0.126498,88.7225,1,0
orchard,MAX_SPAN_het,42,93.7112,0,0.00862986,95.7286,0.000965536,0
orchard,MAX_SPAN_hom,42,90.6986,0,0.0468714,89.7482,1,0
orchard,MAX_SPAN_het,42,86.0561,0,0.00455511,88.113,0.000890136,0
orchard,MAX_SPAN_hom,42,90.7918,0,0.0885028,89.8396,1,0
orchard,MAX_SPAN_het,42,94.6394,0,0.00656134,93.741,0.000946581,0
orchard,MAX_SPAN_hom,42,94.3174,0,0.178025,94.6607,1,0
orchard,MAX_SPAN_het,42,90.5744,0,0.00939912,94.4424,0.000953078,0
orchard,MAX_SPAN_hom,42,91.5708,0,0.253566,90.691,1,0
orchard,MAX_SPAN_het,42,88.9762,0,0.0244582,94.4138,0.000952542,0
orchard,MAX_SPAN_hom,42,88.7272,0,0.384071,89.9959,1,0
orchard,MAX_SPAN_het,42,98.1798,0,0.00685102,96.3381,0.000972271,0
orchard,MAX_SPAN_hom,42,92.6273,0,0.137063,91.6016,1,0
orchard,MAX_SPAN_het,42,92.1875,0,0.00672948,93.6999,0.000946283,0
orchard,MAX_SPAN_hom,42,92.5028,0,0.497118,92.8187,1,0
orchard,MAX_SPAN_het,42,101.042,0,0.00634098,101.89,0.00102746,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,95.6153,0,0.0186139,93.9165,0.000946581,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,95.6153,0,0.0186139,93.9165,0.000946581,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,95.6153,0,0.0186139,93.9165,0.000946581,0
orchard,MAX_SPAN_hom,42,91.3912,0,0.0586037,90.6036,1,0
orchard,MAX_SPAN_het,42,92.7425,0,0.0134361,94.2753,0.000951529,0
orchard,MAX_SPAN_hom,42,99.7093,0,0.159354,100.411,1,0
orchard,MAX_SPAN_het,42,106.548,0,0.0180647,108.364,0.00109291,0
orchard,MAX_SPAN_hom,42,101.21,0,0.159318,100.141,1,0
orchard,MAX_SPAN_het,42,107.793,0,0.0143447,108.947,0.00109863,0
orchard,MAX_SPAN_hom,42,99.882,0,0.159346,100.386,1,0
orchard,MAX_SPAN_het,42,107.793,0,0.0143447,108.947,0.00109863,0
orchard,MAX_SPAN_hom,42,99.5706,0,0.159333,100.562,1,0
orchard,MAX_SPAN_het,42,107.793,0,0.0143447,108.947,0.00109863,0
orchard,MAX_SPAN_hom,42,102.43,0,0.146426,103.13,1,0
orchard,MAX_SPAN_het,42,107.793,0,0.0143447,108.947,0.00109863,0
orchard,MAX_SPAN_hom,42,102.43,0,0.146426,103.13,1,0
orchard,MAX_SPAN_het,42,107.793,0,0.0143447,108.947,0.00109863,0
orchard,MAX_SPAN_hom,42,101.21,0,0.159318,100.141,1,0
orchard,MAX_SPAN_het,42,107.793,0,0.0143447,108.947,0.00109863,0
orchard,MAX_SPAN_hom,42,99.7093,0,0.159354,100.411,1,0
orchard,MAX_SPAN_het,42,106.548,0,0.0180647,108.364,0.00109291,0
orchard,MAX_SPAN_hom,42,99.7093,0,0.159354,100.411,1,0
orchard,MAX_SPAN_het,42,106.548,0,0.0180647,108.364,0.00109291,0
orchard,MAX_SPAN_hom,42,99.515,0,0.159379,100.411,1,0
orchard,MAX_SPAN_het,42,106.548,0,0.0180647,108.364,0.00109291,0
orchard,MAX_SPAN_hom,42,95.3161,0,0.360745,94.331,1,0
orchard,MAX_SPAN_het,42,98.0598,0,0.0178772,96.2487,0.000970542,0
orchard,MAX_SPAN_hom,42,95.3161,0,0.360745,94.331,1,0
orchard,MAX_SPAN_het,42,98.0598,0,0.0178772,96.2487,0.000970542,0
orchard,MAX_SPAN_hom,42,95.3161,0,0.360745,94.331,1,0
orchard,MAX_SPAN_het,42,98.0598,0,0.0178772,96.2487,0.000970542,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,95.6153,0,0.0186139,93.9165,0.000946581,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,95.6153,0,0.0186139,93.9165,0.000946581,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,94.2203,0,0.0141962,92.7492,0.000935316,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,94.2203,0,0.0141962,92.7492,0.000935316,0
orchard,MAX_SPAN_hom,42,91.0318,0,0.370105,89.2816,1,0
orchard,MAX_SPAN_het,42,94.2203,0,0.0141962,92.7492,0.000935316,0
orchard,MAX_SPAN_hom,42,89.1879,0,0.0300142,86.0038,1,0
orchard,MAX_SPAN_het,42,91.8807,0,0.0128239,91.0282,0.000918329,0
orchard,MAX_SPAN_hom,42,89.1879,0,0.0300142,86.0038,1,0
orchard,MAX_SPAN_het,42,91.8807,0,0.0128239,91.0282,0.000918329,0
orchard,MAX_SPAN_hom,42,89.1879,0,0.0300142,86.0038,1,0
orchard,MAX_SPAN_het,42,91.8807,0,0.0128239,91.0282,0.000918329,0
orchard,MAX_SPAN_hom,42,88.8625,0,0.0382848,86.5991,1,0
orchard,MAX_SPAN_het,42,90.7273,0,0.0198454,90.3829,0.000911832,0
orchard,MAX_SPAN_hom,42,88.8625,0,0.0382848,86.5991,1,0
orchard,MAX_SPAN_het,42,90.7273,0,0.0198454,90.3829,0.000911832,0
orchard,MAX_SPAN_hom,42,88.166,0,0.192068,89.1908,1,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_hom,42,88.166,0,0.192068,89.1908,1,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_hom,42,85.1845,0,0.361904,84.7772,1,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_hom,42,85.1845,0,0.361904,84.7772,1,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_hom,42,85.1845,0,0.361904,84.7772,1,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
orchard,MAX_SPAN_het,42,90.7766,0,0.0103998,89.2233,0.000900328,0
