map,method,rnd_seed,distance_agent1,traversability_agent1,safety_agent1,distance_agent2,traversability_agent2,safety_agent2
park,MAX_SPAN_hom,42,153.558,0,0.628195,157.2,1,0
park,MAX_SPAN_het,42,190.144,0,0.00759304,193.343,0.00196111,0
park,MAX_SPAN_hom,42,164.354,0,0.109857,167.525,1,0
park,MAX_SPAN_het,42,197.891,0,0.00679225,204.568,0.00207084,0
park,MAX_SPAN_hom,42,164.331,0,0.32327,163.031,1,0
park,MAX_SPAN_het,42,185.68,0,0.00459307,188.128,0.00190818,0
park,MAX_SPAN_hom,42,152.78,0,0.306053,154.384,1,0
park,MAX_SPAN_het,42,201.267,0,0.0102479,201.602,0.00204194,0
park,MAX_SPAN_hom,42,152.199,0,0.485058,155.124,1,0
park,MAX_SPAN_het,42,185.043,0,0.0209543,191.503,0.00194311,0
park,MAX_SPAN_hom,42,153.536,0,0.501376,156.144,1,0
park,MAX_SPAN_het,42,199.832,0,0.00881678,198.517,0.002011,0
park,MAX_SPAN_hom,42,156.836,0,0.204247,152.094,1,0
park,MAX_SPAN_het,42,243.352,0,0.012571,117.966,0.00119328,0
park,MAX_SPAN_hom,42,157.891,0,0.387881,157.477,1,0
park,MAX_SPAN_het,42,193.198,0,0.0122075,203.361,0.00205588,0
park,MAX_SPAN_hom,42,160.93,0,0.102362,162.609,1,0
park,MAX_SPAN_het,42,192.2,0,0.0264707,196.62,0.001993,0
park,MAX_SPAN_hom,42,155.735,0,0.385843,152.27,1,0
park,MAX_SPAN_het,42,198.864,0,0.00146687,198.165,0.00200403,0
park,MAX_SPAN_hom,42,157.251,0,0.232878,156.725,1,0
park,MAX_SPAN_het,42,197.277,0,0.012781,204.428,0.00207084,0
park,MAX_SPAN_hom,42,166.154,0,0.258664,166.986,1,0
park,MAX_SPAN_het,42,201.286,0,0.00677115,200.425,0.00202793,0
park,MAX_SPAN_hom,42,166.839,0,0.0769777,165.57,1,0
park,MAX_SPAN_het,42,213.548,0,0.00509036,214.996,0.00217664,0
park,MAX_SPAN_hom,42,166.839,0,0.0769777,165.57,1,0
park,MAX_SPAN_het,42,213.548,0,0.00509036,214.996,0.00217664,0
park,MAX_SPAN_hom,42,191.964,0,0.451475,196.296,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,195.005,0,0.278849,191.464,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,188.686,0,0.169912,193.951,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,188.686,0,0.169912,193.951,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,188.686,0,0.169912,193.951,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,188.686,0,0.169912,193.951,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,183.459,0,0.501499,184.244,1,0
park,MAX_SPAN_het,42,251.338,0,0.00625783,174.992,0.00176644,0
park,MAX_SPAN_hom,42,183.459,0,0.501499,184.244,1,0
