map,num_tasks,vrp_time,total_cost
Orchard,110,1,85978
Orchard,110,2,79170
Orchard,110,5,77366
Orchard,110,10,75438
Orchard,110,15,73998
Orchard,110,30,73302
Orchard,110,60,72419
Orchard,110,120,72419
Orchard,110,180,72419
Orchard,110,240,72419
Orchard,110,300,72419
Orchard,110,360,72419
Forest,58,1,56130
Forest,58,2,55509
Forest,58,5,55509
Forest,58,10,54991
Forest,58,15,54991
Forest,58,30,54991
Forest,58,60,54991
Forest,58,120,54991
Forest,58,180,54151
Forest,58,240,54151
Forest,58,300,54151
Forest,58,360,54151
Park,94,1,73697
Park,94,2,73694
Park,94,5,73947
Park,94,10,70675
Park,94,15,70675
Park,94,30,67314
Park,94,60,65302
Park,94,120,64828
Park,94,180,64828
Park,94,240,64828
Park,94,300,64828
Park,94,360,64828
Cave,226,1,117313
Cave,226,2,103728
Cave,226,5,102212
Cave,226,10,89722
Cave,226,15,82561
Cave,226,30,83332
Cave,226,60,83262
Cave,226,120,79724
Cave,226,180,79705
Cave,226,240,79705
Cave,226,300,78500
Cave,226,360,78466
